Date	Open	Close
1962-01-03	7.626667	7.693333
1962-01-04	7.693333	7.616667
1962-01-05	7.606667	7.466667
1962-01-08	7.46	7.326667
1962-01-09	7.36	7.413333
1962-01-10	7.426667	7.426667
1962-01-11	7.446667	7.506667
1962-01-12	7.52	7.52
1962-01-15	7.546667	7.553333
1962-01-16	7.546667	7.473333
1962-01-17	7.44	7.353333
1962-01-18	7.373333	7.373333
1962-01-19	7.373333	7.38
1962-01-22	7.38	7.366667
1962-01-23	7.363333	7.293333
1962-01-24	7.293333	7.333333
1962-01-25	7.333333	7.253333
1962-01-26	7.253333	7.216667
1962-01-29	7.216667	7.093333
1962-01-30	7.093333	7.003333
1962-01-31	7.073333	7.226667
1962-02-01	7.3	7.393333
1962-02-02	7.393333	7.44
1962-02-05	7.44	7.346667
1962-02-06	7.346667	7.353333
1962-02-07	7.36	7.36
1962-02-08	7.36	7.366667
1962-02-09	7.366667	7.42
1962-02-12	7.42	7.426667
1962-02-13	7.426667	7.306667
1962-02-14	7.306667	7.293333
1962-02-15	7.293333	7.266667
1962-02-16	7.266667	7.26
1962-02-19	7.26	7.186667
1962-02-20	7.19	7.19
1962-02-21	7.19	7.136667
1962-02-23	7.146667	7.16
1962-02-26	7.16	7.133333
1962-02-27	7.133333	7.146667
1962-02-28	7.146667	7.16
1962-03-01	7.186667	7.246667
1962-03-02	7.306667	7.306667
1962-03-05	7.306667	7.28
1962-03-06	7.28	7.286667
1962-03-07	7.286667	7.31
1962-03-08	7.31	7.326667
1962-03-09	7.333333	7.373333
1962-03-12	7.373333	7.366667
1962-03-13	7.366667	7.36
1962-03-14	7.36	7.346667
1962-03-15	7.346667	7.333333
1962-03-16	7.333333	7.366667
1962-03-19	7.38	7.386667
1962-03-20	7.373333	7.34
1962-03-21	7.34	7.346667
1962-03-22	7.32	7.266667
1962-03-23	7.273333	7.293333
1962-03-26	7.293333	7.29
1962-03-27	7.273333	7.153333
1962-03-28	7.16	7.193333
1962-03-29	7.193333	7.173333
1962-03-30	7.16	7.103333
1962-04-02	7.1	7.006667
1962-04-03	7	6.833333
1962-04-04	6.833333	6.803333
1962-04-05	6.84	6.946667
1962-04-06	6.946667	6.94
1962-04-09	6.94	6.946667
1962-04-10	6.946667	6.973333
1962-04-11	6.973333	6.88
1962-04-12	6.88	6.806667
1962-04-13	6.806667	6.906667
1962-04-16	6.906667	6.9
1962-04-17	6.9	6.933333
1962-04-18	6.933333	6.92
1962-04-19	6.92	6.92
1962-04-23	6.92	6.913333
1962-04-24	6.913333	6.906667
1962-04-25	6.906667	6.833333
1962-04-26	6.826667	6.66
1962-04-27	6.66	6.473333
1962-04-30	6.473333	6.053333
1962-05-01	6.053333	6.16
1962-05-02	6.266667	6.3
1962-05-03	6.3	6.43
1962-05-04	6.43	6.48
1962-05-07	6.48	6.336667
1962-05-08	6.328333	6.126667
1962-05-09	6.126667	6.013333
1962-05-10	6.013333	6.04
1962-05-11	6.04	5.946667
1962-05-14	5.946667	6.06
1962-05-15	6.06	6.026667
1962-05-16	6.026667	6.093333
1962-05-17	6.093333	5.986667
1962-05-18	5.986667	6.02
1962-05-21	6.02	6
1962-05-22	5.993333	5.8
1962-05-23	5.8	5.536667
1962-05-24	5.536667	5.306667
1962-05-25	5.306667	5.313333
1962-05-28	5.293333	4.813333
1962-05-29	4.873333	5.106667
1962-05-31	5.2	5.233333
1962-06-01	5.213333	5.133333
1962-06-04	5.066667	4.8
1962-06-05	4.8	4.855
1962-06-06	4.855	4.873333
1962-06-07	4.906667	4.933333
1962-06-08	4.936667	4.95
1962-06-11	4.95	4.786667
1962-06-12	4.733333	4.468333
1962-06-13	4.468333	4.301667
1962-06-14	4.301667	4.08
1962-06-15	4.08	4.446667
1962-06-18	4.446667	4.396667
1962-06-19	4.396667	4.48
1962-06-20	4.48	4.373333
1962-06-21	4.32	4.21
1962-06-22	4.21	4.266667
1962-06-25	4.266667	4.433333
1962-06-26	4.433333	4.266667
1962-06-27	4.273333	4.44
1962-06-28	4.47	4.586667
1962-06-29	4.586667	4.523333
1962-07-02	4.523333	4.666667
1962-07-03	4.666667	4.686667
1962-07-05	4.686667	4.666667
1962-07-06	4.613333	4.6
1962-07-09	4.6	4.67
1962-07-10	4.75	4.783333
1962-07-11	4.783333	4.991667
1962-07-12	5.003333	5.053333
1962-07-13	5.053333	5.016667
1962-07-16	5.016667	5.1
1962-07-17	5.1	4.935
1962-07-18	4.935	4.87
1962-07-19	4.896667	4.9
1962-07-20	4.913333	4.96
1962-07-23	4.96	4.973333
1962-07-24	4.946667	4.843333
1962-07-25	4.843333	4.9
1962-07-26	4.923333	4.926667
1962-07-27	4.926667	5.011667
1962-07-30	5.043333	5.165
1962-07-31	5.165	5.16
1962-08-01	5.146667	5.016667
1962-08-02	5.02	5.143333
1962-08-03	5.143333	5.133333
1962-08-06	5.133333	5.066667
1962-08-07	5.061667	4.976667
1962-08-08	4.976667	5.09
1962-08-09	5.086667	5.02
1962-08-10	5.02	5.01
1962-08-13	5.013333	5.05
1962-08-14	5.05	5.146667
1962-08-15	5.153333	5.153333
1962-08-16	5.153333	5.15
1962-08-17	5.15	5.193333
1962-08-20	5.22	5.25
1962-08-21	5.25	5.236667
1962-08-22	5.246667	5.453333
1962-08-23	5.453333	5.473333
1962-08-24	5.473333	5.453333
1962-08-27	5.453333	5.44
1962-08-28	5.436667	5.246667
1962-08-29	5.246667	5.213333
1962-08-30	5.213333	5.17
1962-08-31	5.18	5.283333
1962-09-04	5.283333	5.166667
1962-09-05	5.166667	5.106667
1962-09-06	5.106667	5.173333
1962-09-07	5.173333	5.096667
1962-09-10	5.096667	5.123333
1962-09-11	5.123333	5.093333
1962-09-12	5.1	5.115
1962-09-13	5.115	5.113333
1962-09-14	5.113333	5.176667
1962-09-17	5.186667	5.266667
1962-09-18	5.266667	5.226667
1962-09-19	5.226667	5.15
1962-09-20	5.15	5.103333
1962-09-21	5.1	5.023333
1962-09-24	4.966667	4.826667
1962-09-25	4.826667	4.923333
1962-09-26	4.923333	4.74
1962-09-27	4.74	4.666667
1962-09-28	4.67	4.713333
1962-10-01	4.713333	4.538333
1962-10-02	4.576667	4.671667
1962-10-03	4.671667	4.646667
1962-10-04	4.646667	4.77
1962-10-05	4.77	4.803333
1962-10-08	4.803333	4.796667
1962-10-09	4.813333	4.883333
1962-10-10	4.883333	4.788333
1962-10-11	4.788333	4.746667
1962-10-12	4.746667	4.736667
1962-10-15	4.76	4.893333
1962-10-16	4.893333	4.766667
1962-10-17	4.766667	4.82
1962-10-18	4.82	4.735
1962-10-19	4.735	4.641667
1962-10-22	4.598333	4.573333
